titlelb;publicscore;id
Boyhood;3,8;85350
Boynton Beach Club;3,1;55831
Boys and Girls;2,5;10571
Boys Don't Cry;3,7;226
Boyz n the Hood;4;650
Bran Nue Dae;3;38415
Brave;3,3;62177
Brave New Girl;2,9;34099
Braveheart;3,8;197
Brazil;4;68
Breakdown;3,5;2163
Breakfast of Champions;2,4;12479
Breakin' All the Rules;2,7;16428
Breaking Upwards;3;44990
Brick Lane;3,2;21074
Brick Mansions;2,4;254473
Bride & Prejudice;3,2;57825
Bride of Chucky;3,1;11932
Bride Wars;2,8;10521
Bridesmaids;3,5;55721
Bridge of Spies;3,5;296098
Bridge to Terabithia;3,5;1265
Bridget Jones: The Edge of Reason;2,9;9801
Bridget Jones's Diary;3,4;634
Brigham City;3,1;26791
Bright Lights, Big City;2,8;17170
Bright Star;3,6;29963
Brighton Rock;2,7;62728
Bring It On;3,3;1588
Bringing Down the House;2,4;10678
Bringing Out the Dead;3,6;8649
Brokeback Mountain;4,1;142
Brokedown Palace;2,9;17707
Broken Arrow;2,8;9208
Broken City;2,6;98357
Broken Horses;2,6;319910
Broken Vessels;3,3;125263
Bronson;3,6;18533
Brooklyn;3,8;167073
Brooklyn Rules;2,8;13072
Brooklyn's Finest;3;26390
Brother;3,9;327
Brotherly Love;3;295886
Brothers;3,3;7445
Brown Sugar;3,4;37964
Bruce Almighty;3,1;310
Bruno;2,8;18480
Bubba Ho-tep;3,3;9707
Bubble Boy;2,7;9683
Bucky Larson: Born to Be a Star;1,3;67911
Buffalo '66;3,9;9464
Buffalo Soldiers;3,1;9104
Bullet to the Head;2,4;70074
Bulletproof Monk;2,3;11817
Bullets Over Broadway;3,6;11382
Bully;3,4;9517
Bulworth;3,2;9452
Buried;3,3;26388
Burlesque;3,2;42297
Burn;3,6;139948
Burn After Reading;3,5;4944
Burnt;3;295964
But I'm a Cheerleader;4;20770
Butch Cassidy and the Sundance Kid;4;642
Butterfly;3,8;34697
Butterfly Girl;3,5;253290
Butterfly on a Wheel;2,9;13250
By the Sea;2,8;314385
C.H.U.D.;2,8;23730
Ca$h;2,4;27004
Cabin Fever;2,8;298584
Caddyshack;3,4;11977
Cadillac Records;3,3;14299
Call + Response;-;287815
Cama adentro;3,5;78705
Camping Sauvage;-;40185
Can't Hardly Wait;3,1;15037
Can't Stop the Music;2,4;40932
Cape Fear;3,6;1598
Capitalism: A Love Story;3,4;22074
Capote;3,6;398
Capricorn One;3,3;11935
Captain America: Civil War;3,6;271110
Captain America: The First Avenger;3,3;1771
Captain America: The Winter Soldier;3,8;100402
Captain Corelli's Mandolin;2,5;1722
Captain Phillips;3,7;109424
Captive;2,4;331190
Caramel;3,7;7973
Caravans;2,8;41317
Cargo;3,1;34069
Carlos;3,8;43434
Carnage;3,6;72113
Carrie;2,5;133805
Carriers;2,7;25769
Cars;3,5;920
Cars 2;2,5;49013
Casa de Areia;3,7;29262
Casa De Mi Padre;2,6;80304
Casablanca;4,2;289
Case 39;2,7;28355
Casino;4,1;524
Casino Jack;2,7;45324
Casino Royale;3,9;36557
Casper;2,9;8839
Cast Away;3,8;8358
Cat on a Hot Tin Roof;3,8;261
Cat People;3,7;6217
Catch a Fire;3;1123
Catch Me If You Can;4;640
Catch That Kid;2,5;20483
Catch-22;3,5;10364
Cats & Dogs;2,2;10992
Cats & Dogs 2 : The Revenge of Kitty Galore;1,8;39691
Cats Don't Dance;3,5;24662
Catwoman;1,4;314
Cavite;3;67238
Cecil B. Demented;3,6;14195
Cedar Rapids;2,9;52067
Celebrity;2,9;9466
Celeste & Jesse Forever;3,3;84184
Cellular;2,9;9759
Censored Voices;3,5;319069
Center Stage;3,9;10560
Central do Brasil;4,4;666
Central Intelligence;2,7;302699
Centurion;2,8;23759
C'era una volta il West;4,3;335
Certifiably Jonathan;3;49951
Chacun Cherche Son Chat;3,3;11956
Chacun sa nuit;2,8;12838
Chain Letter;1,8;38033
Chain of Command;1,9;352978
Chain Reaction;2,5;12123
Chairman of the Board;1,4;31535
Changeling;3,6;3580
Changing Lanes;2,9;1537
Chappie;3;198184
Chariots of Fire;3,3;9443
Charlie and the Chocolate Factory;3,2;118
Charlie Bartlett;3,3;8669
Charlie St. Cloud;2,8;37950
Charlie Wilson's War;3,2;6538
Charlie's Angels;3;4327
Charlie's Angels: Full Throttle;2,7;9471
Charlotte's Web;2,7;9986
Charly;3;29146
Chasing Amy;3,3;2255
Chasing Liberty;2,8;14844
Chasing Mavericks;3,3;82684
Chasing Papi;2,7;24621
Chasseurs de dragons;3,1;10800
Chats perchés;3,6;126141
Cheap Thrills;3,3;175291
Cheaper by the Dozen;2,9;11007
Cheaper by the Dozen 2;2,7;9641
Checkmate;2,2;356841
Chéri;2,9;22215
Chernobyl Diaries;2,1;93856
Chi bi;3,6;12289
Chiamatemi Francesco - Il Papa della gente;3,2;370980
Chicago;3,8;1574
Chicago Overcoat;2,8;43213
Chicken Little;2,7;9982
Chicken Run;3,5;7443
Chicken Tikka Masala;-;31163
Child 44;2,7;181283
Childless;-;335874
Children of Heaven;4,1;21334
Children of Men;4,2;9693
Child's Play;3,3;10585
Child's Play 2;3,2;11186
Chill Factor;2,2;2162
Chloe;2,7;28211
Chocolat;3,3;392
Chocolate: Deep Dark Secrets;2,4;20296
Choke;2,9;13973
Christmas Eve;2,1;340816
Christmas Mail;1,9;76706
Christmas with the Kranks;2,5;13673
Chronicle;3,4;76726
Chuck & Buck;3,4;44490
Cidade de Deus;4,4;598
Cinco de Mayo: La Batalla;2,7;184374
Cinderella;3,2;150689
Cinderella Man;3,6;921
Circle;2,6;335866
Circumstance;3,1;60421
Cirque du Freak: The Vampire's Assistant;2,3;24418
Cirque du Soleil: Worlds Away;3,2;94352
City By The Sea;2,6;13536
City Hall;2,8;11062
City Island;3,4;28053
City of Angels;2,9;795
City of Ember;2,8;13600
City of Ghosts;2,9;31932
City of Life and Death;3,9;21345
Civil Brand;2,9;30246
CJ7;3,1;13688
Clash of the Titans;2,3;18823
Class of 1984;3,3;11564
Clay Pigeons;3;26618
Clean;3,5;39851
Clear and Present Danger;3,3;9331
Cleopatra;3,4;8095
Clerks;3,7;2292
Clerks II;3,2;2295
Click;2,7;9339
Cliffhanger;3,1;9350
Clockstoppers;2,3;15028
Clockwatchers;3,6;55561
Close Encounters of the Third Kind;3,8;840
Close Range;2,7;325173
Closer;3,5;2288
Closer to the Moon;3,3;137347
Cloud Atlas;3,4;83542
Cloudy with a Chance of Meatballs;3,3;22794
Cloudy with a Chance of Meatballs 2;2,8;109451
Cloverfield;3,3;7191
Club Dread;2,7;11217
Clueless;3,8;9603
Coach Carter;3,6;7214
Coal Miner's Daughter;3,7;16769
Coco avant Chanel;3,2;11156
Code 46;3;2577
Code Name: The Cleaner;1,9;14396
Code of Honor;1,7;389425
Coffee Town;2,9;198062
Cold Mountain;3,3;2289
Collateral;3,8;1538
Collateral Damage;2,4;9884
College;1,8;13991
Colombiana;2,9;62835
Come Early Morning;3,1;7547
Commando;3,4;10999
Compadres;2,2;317930
Compliance;3,2;84188
Con Air;3,3;1701
Conan the Barbarian;3,4;9387
Conan the Destroyer;2,8;9610
Concussion;3,2;321741
Confessions of a Dangerous Mind;3,3;4912
Confessions of a Teenage Drama Queen;3,1;11132
Confidence;2,9;10743
Congo;2,4;10329
Connie and Carla;3;15673
Conquest of the Planet of the Apes;3,1;1688
Conspiracy Theory;3;8834
Contact;3,7;686
Contagion;3,3;39538
Containment;2,5;347548
Contraband;2,7;77866
Control;3,8;5708
Conversations with Other Women;3,4;15624
Cool Runnings;3,4;864
Cop Land;3,5;2142
Cop Out;2,1;23742
Copycat;3,2;1710
Copying Beethoven;3;1590
Coraline;4,1;14836
Coriolanus;3,2;101173
Corky Romano;2;17708
Corpse Bride;3,8;3933
Cotton Comes to Harlem;3,4;59917
Counting;3,4;322745
Country Strong;2,9;45272
Couples Retreat;2,3;19899
Courage Under Fire;3,1;10684
Courageous;2,5;72213
Coyote Ugly;2,9;6282
Cradle 2 the Grave;2,7;10623
Cradle Will Rock;3,2;32274
Crank;3,2;1948
Crank: High Voltage;3;15092
Crash;2,9;1640
Crazy Heart;3,4;25196
Crazy in Alabama;2,9;31306
Crazy Stone;3,6;45380
Crazy, Stupid, Love;3,6;50646
Crazy/Beautiful;2,9;10691
Creative Control;2,8;320146
Creature;2,4;50942
Creed;3,8;312221
Creepshow;3,6;16281
Creepshow 2;3;16288
Criminal;2,6;302156
Criminal Activities;2,6;334527
Crimson Tide;3,7;8963
Critical Care;2,7;61337
Crocodile Dundee;3;9671
Crocodile Dundee II;2,5;9396
Crocodile Dundee in Los Angeles;1,9;9290
Crooklyn;3,8;34152
Crossover;1,9;14351
Crossroads;2,5;17130
Crowsnest;2,1;137955
Cruel Intentions;3,3;796
Cry Freedom;3,4;12506
Cry_Wolf;2,6;10092
Crying with Laughter;3,3;57294
Cube;3,2;431
Cure;4,1;36095
Curious George;3,3;9975
Curse of the Golden Flower;3,4;1494
Cursed;2,5;10012
Cutthroat Island;2,6;1408
Cypher;3,1;10133
Cyrus;3,1;39053
D.E.B.S.;3,7;540
Da Sweet Blood of Jesus;2,6;278316
Dabba;3,9;191714
Daddy Day Camp;1,5;14144
Daddy Day Care;2,6;10708
Daddy's Home;2,6;274167
Dallas Buyers Club;3,9;152532
Damnation Alley;2,5;25763
Damsels in Distress;3,1;82533
Dance Flick;1,7;21724
Dancer in the Dark;4,1;16
"Dancer, Texas Pop. 81
";3,1;78373
Dances with Wolves;3,7;581
Dancin' It's On;1,8;357837
Dangerous Liaisons;3,7;859
