filme;nota;;;;;;
Beowulf;2,6;;;27549;Beastmaster 2: Through the Portal of Time;;0
Bernie;3,5;;;84175;Beasts of the Southern Wild;;0
Best in Show;3,9;;;66767;Beat the World;;0
Better Luck Tomorrow;3,5;;;109491;Beautiful Creatures;;0
Betty Fisher et autres histoires;3,2;;;14177;Beauty Shop;;0
Beverly Hills Chihuahua;2;;;3179;Beavis and Butt-Head Do America;;0
Beverly Hills Cop;3,6;;;1257;Because I Said So;;0
Beverly Hills Cop II;3,2;;;17880;Because of Winn-Dixie;;0
Beverly Hills Cop III;2,5;;;2977;Becoming Jane;;0
Beyond Borders;2,9;;;1636;Bedazzled;;0
Beyond the Black Rainbow;3,3;;;10202;Bedtime Stories;;0
Beyond the Lights;3,4;;;5559;Bee Movie;;0
Beyond the Mat;3,7;;;14137;Beer League;;0
Beyond the Sea;2,9;;;9988;Beerfest;;0
Beyond the Valley of the Dolls;3,6;;;4011;Beetlejuice;;0
B-Girl;2,8;;;204922;Before I Go to Sleep;;0
Bicentennial Man;3,1;;;132344;Before Midnight;;0
Bienvenue chez les ch'tis;3,2;;;76;Before Sunrise;;0
Big;3,6;;;80;Before Sunset;;0
Big Daddy;3,1;;;198277;Begin Again;;0
Big Eyes;3,3;;;55347;Beginners;;0
Big Fat Liar;2,7;;;8007;Behind Enemy Lines;;0
Big Fish;3,8;;;492;Being John Malkovich;;0
Big Hero 6;3,8;;;18701;Being Julia;;0
Big Miracle;2,9;;;12586;Bella;;0
Big Momma's House;2,3;;;39437;Beloved;;0
Big Momma's House 2;2,2;;;107315;Below Zero;;0
Big Mommas: Like Father;2;;;455;Bend It Like Beckham;;0
Big Trouble;2,8;;;174362;Bending Steel;;0
Big Trouble in Little China;3,7;;;43418;Beneath Hill 60;;0
Bill & Ted's Bogus Journey;3,3;;;1685;Beneath the Planet of the Apes;;0
Bill & Ted's Excellent Adventure;3,7;;;271969;Ben-Hur;;0
Billy Elliot;3,9;;;23069;Benji;;0
Birdman;3,8;;;2310;Beowulf;;0
Birth;3,6;;;92591;Bernie;;0
Birthday Girl;2,8;;;13785;Best in Show;;0
Biutiful;3,7;;;14290;Better Luck Tomorrow;;0
Bizarre;2,6;;;55903;Betty Fisher et autres histoires;;0
Black Christmas;3,9;;;14405;Beverly Hills Chihuahua;;0
Black Hawk Down;3,6;;;90;Beverly Hills Cop;;0
Black Knight;2,2;;;96;Beverly Hills Cop II;;0
Black Mass;3;;;306;Beverly Hills Cop III;;0
Black Nativity;2,5;;;9839;Beyond Borders;;0
Black November;2,7;;;50037;Beyond the Black Rainbow;;0
Black or White;2,9;;;241771;Beyond the Lights;;0
Black Rain;3,1;;;14271;Beyond the Mat;;0
Black Rock;2,4;;;6478;Beyond the Sea;;0
Black Snake Moan;3,2;;;5722;Beyond the Valley of the Dolls;;0
Black Swan;4,1;;;26837;B-Girl;;0
Black Water Transit;-;;;2277;Bicentennial Man;;0
Blackhat;2,9;;;8265;Bienvenue chez les ch'tis;;0
Blackthorn;3,2;;;2280;Big;;0
Blade;3,4;;;9032;Big Daddy;;0
Blade II;3,2;;;87093;Big Eyes;;0
Blade Runner;4,1;;;11870;Big Fat Liar;;0
Blade: Trinity;2,3;;;587;Big Fish;;0
Blades of Glory;2,9;;;177572;Big Hero 6;;0
